47 0.0  9.6
326 29.0  9.9
584 41.0 10.1
845 56.0 10.4
1318 34.0 10.6
1622 40.5 10.8
1921 47.5 11.1
2191 54.0 11.3
2475 40.6 11.5
2751 44.6 11.8
3029 49.3 12.0
3306 40.5 12.3
3573 43.7 12.5
3837 47.2 12.7
4123 50.0 12.9
4374 42.4 13.1
4635 45.2 13.4
4894 47.6 13.6
5155 50.2 13.8
5415 44.1 14.1
5673 46.1 14.3
5935 48.3 14.5
6195 50.6 14.8
6464 45.2 15.0
6725 47.2 15.3
6984 49.0 15.5
7245 51.0 15.7
7504 46.1 15.9
7765 47.7 16.2
8036 49.6 16.4
8501 45.4 16.7
8796 46.7 16.9
9095 48.3 17.1
9367 44.9 17.3
9641 46.2 18.5
9911 47.4 23.1
10195 48.9 19.3
