42 13.0  4.9
290 26.0  4.9
527 38.0  4.9
775 50.0  5.0
1015 31.0  5.0
1257 37.0  5.0
1497 43.0  5.0
1738 48.5  5.1
1975 36.3  5.1
2215 40.0  5.1
2459 44.0  5.2
2699 48.3  5.2
2950 52.0  5.2
3200 42.2  5.2
3439 45.5  5.3
3677 48.5  5.3
3939 51.5  5.3
4183 43.6  5.4
4450 46.2  5.4
4709 48.8  5.4
4957 42.5  5.5
5231 44.8  5.5
5468 46.6  5.5
5704 48.6  5.5
5944 50.5  5.6
6180 45.0  5.6
6416 46.7  5.6
6659 48.4  5.7
6909 50.1  5.7
7149 45.3  5.7
7390 46.8  5.7
7629 48.5  5.8
7867 49.8  5.8
8107 45.6  5.8
8344 47.0  5.9
8587 48.2  5.9
8829 49.5  5.9
9079 45.9  6.0
9327 47.2  6.0
9567 48.3  6.0
9810 49.6  6.0
10048 46.0  6.1
10312 47.3  6.1
10569 48.4  6.1
10820 49.5  6.2
11074 46.4  6.2
11362 47.5  6.2
11611 48.5  6.3
11852 49.5  6.3
12102 46.7  6.3
12351 47.7  6.3
12587 48.6  6.4
12827 49.5  6.4
13069 46.8  6.4
13322 47.7  6.5
13556 48.6  6.5
13797 49.5  6.5
14038 46.9  6.6
14280 47.8  6.6
14517 48.6  6.6
14757 49.4  6.6
14997 47.0  6.7
15250 47.7  6.7
15490 48.5  6.7
15726 49.2  6.8
15969 47.1  6.8
16208 47.8  6.8
16478 48.5  6.8
16741 49.3  6.9
16999 47.3  6.9
17255 48.0  6.9
17520 48.6  7.0
17769 49.2  7.0
18009 47.3  7.0
18259 48.0  7.1
18499 48.6  7.1
18737 49.3  7.1
18977 47.4  7.1
19227 48.0  7.2
19479 48.6  7.2
19719 49.2  7.2
19959 49.8  7.3
20202 48.0  7.3
20440 48.6  7.3
20677 49.1  7.4
20969 47.5  7.4
21209 48.0  7.4
21457 48.5  7.4
21699 49.1  7.5
21937 49.7  7.5
22176 48.0  7.5
22419 48.5  7.6
22669 49.0  7.6
22939 49.6  7.6
23186 48.1  7.6
23443 48.6  7.7
23711 49.1  7.7
23959 49.6  7.7
24199 48.1  7.8
24439 48.6  7.8
24677 49.0  7.8
24919 49.5  7.9
25159 48.1  7.9
25397 48.5  7.9
25649 49.0  7.9
25887 49.5  8.0
26139 48.1  8.0
26377 48.5  8.0
26616 49.0  8.1
26859 49.4  8.1
27097 48.1  8.1
27349 48.5  8.1
27589 49.0  8.2
27835 49.4  8.2
28075 48.1  8.2
28319 48.5  8.3
28559 49.0  8.9
28804 49.4  9.2
