1508879205756 0.0  2.1
1508879205993 0.0  2.1
1508879206229 0.0  2.2
1508879206459 47.0  2.2
1508879206689 59.0  2.2
1508879206919 70.0  2.2
1508879207149 82.0  2.3
1508879207379 46.5  2.3
1508879207609 52.5  2.3
1508879207839 58.0  2.4
1508879208069 63.5  2.4
1508879208299 69.5  2.4
1508879208529 50.0  2.4
1508879208759 54.0  2.5
1508879208989 57.6  2.5
1508879209219 61.6  2.5
1508879209449 49.0  2.6
1508879209679 52.0  2.6
1508879209909 54.7  2.6
1508879210139 57.7  2.6
1508879210369 48.4  2.7
1508879210599 50.8  2.7
1508879210829 53.0  2.7
1508879211059 55.4  2.7
1508879211289 57.6  3.7
