50 0.0 13.1
335 0.0 13.3
615 0.0 13.5
883 56.0 13.7
1165 70.0 14.0
1445 84.0 14.2
1725 98.0 14.4
2005 56.0 14.6
2285 63.0 14.9
2565 70.5 15.1
2833 76.5 15.3
3115 56.0 15.6
3395 63.0 15.7
3964 51.5 16.0
4344 55.0 16.2
4643 58.7 16.4
4934 50.0 16.7
5237 53.0 16.9
5555 55.8 17.1
5834 58.6 17.4
6104 51.0 17.6
6414 53.3 17.8
6683 55.6 18.0
6953 49.5 18.2
7223 51.2 18.4
7494 53.2 18.6
7763 55.2 18.9
8046 50.0 19.1
8324 51.7 19.3
8594 53.5 19.5
8874 49.1 19.7
9154 50.6 20.0
9423 52.1 20.2
9705 53.7 20.4
9974 49.7 20.6
10242 50.9 20.8
10550 53.1 21.0
11074 49.8 21.2
11429 51.0 21.4
11735 52.3 21.7
12024 49.1 21.9
12313 50.4 22.1
12614 51.4 22.3
12884 48.5 22.5
13164 49.6 22.8
13484 50.7 23.0
13753 51.7 23.2
14034 49.1 23.4
14302 50.0 23.6
14586 51.0 23.9
14863 52.0 24.1
15133 49.5 24.3
15402 50.3 27.4
15674 51.2 32.4
15943 48.9 24.5
