1102627 0.0 14.5
1102844 0.0 14.9
1103058 33.0 15.3
1103268 43.0 15.7
1103478 54.0 16.1
1103688 64.0 16.5
1103898 75.0 16.9
1104107 42.5 17.3
1104318 48.0 17.8
1104527 53.0 18.2
1104738 58.5 18.6
1104947 42.3 19.0
1105158 46.0 19.4
1105368 49.3 19.8
1105578 53.0 20.2
1105788 56.3 20.6
1105998 45.0 21.1
1106208 47.5 21.5
1106418 50.2 21.9
1106628 53.0 22.3
1106838 55.5 22.7
1107048 46.6 23.1
1107257 48.6 23.5
1107467 50.8 24.0
1107677 52.8 24.4
1107887 55.0 24.8
1108097 47.5 29.0
1108330 49.3 25.7
