1509982783683 0.0  4.2
1509982783839 3.0  4.3
1509982783971 3.0  4.3
1509982784108 4.0  4.3
1509982784243 4.0  4.3
1509982784374 4.0  4.3
1509982784509 4.0  4.3
1509982784641 4.0  4.3
1509982784778 2.0  4.3
1509982784908 2.0  4.3
1509982785040 2.0  4.3
1509982785175 2.0  4.3
1509982785307 2.0  4.3
1509982785435 2.0  4.3
1509982785570 2.0  4.3
1509982785701 2.0  4.3
1509982785845 1.3  4.3
1509982785980 1.3  4.3
1509982786110 1.3  4.3
1509982786247 1.3  4.3
1509982786390 1.3  4.3
1509982786537 1.6  4.3
1509982786689 1.6  4.3
1509982786841 1.2  4.3
1509982787011 2.0  4.9
