1152399 0.0  4.9
1152597 0.0  5.0
1152789 0.0  5.1
1152987 39.0  5.1
1153178 49.0  5.2
1153368 58.0  5.2
1153558 68.0  5.3
1153748 77.0  5.3
1153939 43.0  5.4
1154129 47.5  5.4
1154318 52.5  5.5
1154508 57.5  5.5
1154707 63.0  5.6
1154903 67.5  5.7
1155098 48.0  5.7
1155289 51.3  5.8
1155487 54.6  5.8
1155678 58.0  5.9
1155869 60.6  5.9
1156058 48.0  6.0
1156249 50.2  6.0
1156438 52.5  6.1
1156628 55.0  6.1
1156818 57.5  6.2
1157009 47.6  6.3
1157197 49.6  6.3
1157389 51.6  6.4
1157587 53.4  6.4
1157778 55.6  6.5
1157969 47.8  7.4
