1508879764814 0.0 10.6
1508879765048 0.0 10.7
1508879765272 0.0 10.7
1508879765508 47.0 10.7
1508879765732 58.0 10.8
1508879765968 71.0 10.8
1508879766193 81.0 10.8
1508879766428 47.0 10.9
1508879766652 52.5 10.9
1508879766888 58.5 10.9
1508879767112 64.0 11.0
1508879767348 46.6 11.0
1508879767571 50.3 11.0
1508879767808 54.3 11.1
1508879768032 58.0 11.1
1508879768268 62.3 11.1
1508879768492 49.5 11.1
1508879768718 52.2 11.2
1508879768944 55.0 11.2
1508879769178 58.0 11.2
1508879769402 48.6 11.3
1508879769628 50.8 11.3
1508879769852 53.0 11.3
1508879770088 55.4 11.4
1508879770318 48.1 11.4
1508879770541 50.0 11.4
1508879770768 51.8 11.5
1508879770992 53.6 11.5
1508879771228 55.6 11.5
1508879771451 49.2 11.6
1508879771688 51.0 11.6
1508879771905 52.5 11.6
1508879772138 54.2 11.7
1508879772361 48.8 11.7
1508879772598 50.3 11.7
1508879772821 51.7 11.8
1508879773058 53.2 11.8
1508879773292 48.6 11.8
1508879773528 50.1 11.9
1508879773752 51.2 11.9
1508879773988 52.6 11.9
1508879774212 53.8 12.0
1508879774448 49.7 12.0
1508879774672 50.8 12.0
1508879774908 52.0 12.1
1508879775131 53.1 12.1
1508879775368 49.3 12.1
1508879775591 50.3 12.1
1508879775815 51.3 12.2
1508879776048 52.4 12.2
1508879776272 53.4 12.2
1508879776495 49.9 12.3
1508879776728 50.9 12.3
1508879776952 51.8 12.3
1508879777188 52.9 12.4
1508879777414 49.6 12.4
1508879777648 50.5 12.4
1508879777872 51.3 12.5
1508879778108 52.3 12.5
1508879778332 49.4 12.5
1508879778568 50.2 12.6
1508879778798 51.1 12.6
1508879779021 51.9 12.6
1508879779258 52.7 12.7
1508879779481 50.0 12.7
1508879779704 50.7 12.7
1508879779938 51.4 12.8
1508879780155 52.2 12.8
1508879780388 49.6 12.8
1508879780611 50.3 12.9
1508879780848 51.1 12.9
1508879781065 51.8 12.9
1508879781298 49.4 13.0
1508879781516 50.0 13.0
1508879781748 50.7 13.0
1508879781971 51.4 13.0
1508879782208 52.1 13.1
1508879782425 49.8 13.1
1508879782658 50.5 13.1
1508879782881 51.1 13.2
1508879783105 51.7 13.2
1508879783335 49.5 13.2
1508879783569 50.2 13.3
1508879783801 50.8 13.3
1508879784025 51.4 13.3
1508879784258 52.0 13.4
1508879784481 50.0 13.4
1508879784705 50.5 13.4
1508879784938 51.1 13.5
1508879785154 51.6 13.5
1508879785388 49.7 13.5
1508879785618 50.3 13.6
1508879785841 50.8 13.6
1508879786068 51.3 13.6
1508879786292 49.5 13.7
1508879786518 50.0 13.7
1508879786741 50.5 13.7
1508879786965 51.0 13.7
1508879787198 51.5 13.8
1508879787422 49.8 13.8
1508879787648 50.3 13.8
1508879787872 50.8 13.9
1508879788107 51.3 13.9
1508879788378 49.6 13.9
1508879788601 50.1 14.0
1508879788824 50.5 14.0
1508879789058 51.0 14.0
1508879789287 51.5 14.1
1508879789505 49.9 14.1
1508879789738 50.4 14.1
1508879789961 50.8 14.2
1508879790198 51.3 14.2
1508879790421 49.8 14.2
1508879790644 50.1 14.3
1508879790877 50.6 14.3
