1508879247327 13.0  3.7
1508879247569 25.0  3.7
1508879247809 37.0  3.8
1508879248036 48.0  3.8
1508879248269 60.0  3.8
1508879248496 35.5  3.9
1508879248726 41.0  3.9
1508879248957 46.5  3.9
1508879249185 52.5  3.9
1508879249418 38.6  4.0
1508879249645 42.3  4.0
1508879249876 46.0  4.0
1508879250106 50.0  4.0
1508879250337 40.2  4.1
1508879250579 43.2  4.1
1508879250806 46.0  4.1
1508879251047 49.0  4.2
1508879251289 52.2  4.2
1508879251529 44.2  4.2
1508879251769 46.6  4.3
1508879251996 48.8  4.3
1508879252229 51.0  4.3
1508879252456 44.5  4.3
1508879252689 46.3  4.4
1508879252916 48.1  4.4
1508879253149 50.0  4.4
1508879253379 44.5  4.4
1508879253605 46.1  4.5
1508879253836 47.7  4.5
1508879254079 49.4  4.5
1508879254306 44.7  4.6
1508879254536 46.1  4.6
1508879254765 47.5  4.6
1508879254996 49.0  4.6
1508879255233 50.3  4.7
1508879255469 46.1  4.7
1508879255697 47.3  4.7
1508879255925 48.6  4.8
1508879256157 49.8  4.8
1508879256387 46.0  4.8
1508879256616 47.1  4.8
1508879256845 48.3  4.9
1508879257077 49.4  4.9
1508879257309 45.9  4.9
1508879257536 46.9  4.9
1508879257765 48.0  5.0
1508879257996 49.0  5.0
1508879258225 50.0  5.0
1508879258458 46.7  5.1
1508879258686 47.7  5.1
1508879258917 48.6  5.1
1508879259149 49.5  5.1
1508879259376 46.6  5.2
1508879259605 47.5  5.2
1508879259836 48.3  5.2
1508879260065 49.2  5.2
1508879260296 50.1  5.3
1508879260526 47.3  5.3
1508879260769 48.2  5.3
1508879261009 49.0  5.4
1508879261249 50.0  5.4
1508879261489 47.4  5.4
1508879261716 48.2  5.4
1508879261946 48.9  5.5
1508879262176 49.6  5.5
1508879262409 47.3  5.5
1508879262639 48.0  5.6
1508879262865 48.6  5.6
1508879263096 49.4  5.6
1508879263325 47.1  5.6
1508879263568 47.8  5.7
1508879263796 48.5  5.7
1508879264032 49.2  5.7
1508879264269 49.9  5.8
1508879264496 47.7  5.8
1508879264739 48.4  5.8
1508879264964 49.0  5.8
1508879265199 49.7  5.9
1508879265425 47.7  5.9
1508879265657 48.3  5.9
1508879265884 48.8  6.0
1508879266119 49.4  6.0
1508879266345 47.5  7.3
