5795371 0.0  4.9
5795568 0.0  5.0
5795759 0.0  5.0
5795949 38.0  5.1
5796138 48.0  5.1
5796329 57.0  5.2
5796519 67.0  5.2
5796717 76.0  5.3
5796908 86.0  5.4
5797098 47.5  5.4
5797288 52.0  5.5
5797478 57.0  5.5
5797668 61.5  5.6
5797858 66.0  5.6
5798048 47.6  5.7
5798247 50.6  5.7
5798438 53.6  5.8
5798629 57.0  5.9
5798818 60.0  5.9
5799009 47.2  6.0
5799198 49.7  6.0
5799388 52.0  6.1
5799578 54.5  6.1
5799769 56.5  6.2
5799966 47.6  6.3
5800162 49.6  6.3
5800359 51.4  6.4
5800548 53.4  6.4
5800739 55.2  8.0
