1146427 0.0  4.9
1146625 0.0  5.0
1146830 0.0  5.1
1147027 41.0  5.1
1147219 51.0  5.2
1147417 60.0  5.2
1147609 69.0  5.3
1147807 80.0  5.3
1147999 44.5  5.4
1148197 49.5  5.4
1148388 54.5  5.5
1148579 59.0  5.6
1148777 64.0  5.6
1148969 45.6  5.7
1149158 49.3  5.7
1149349 52.0  5.8
1149539 55.0  5.8
1149729 58.6  5.9
1149927 46.2  5.9
1150118 48.5  6.0
1150309 50.7  6.0
1150498 53.5  6.1
1150689 55.5  6.2
1150878 58.0  6.2
1151069 48.4  6.3
1151267 50.4  6.3
1151467 52.4  6.4
1151667 54.6  6.4
1151863 56.4  6.5
1152057 48.6  8.2
